Wallet Address,Total Points
0xec41beb646c38c995d28cd5c165d989263adff24,40
0x879646289295cd2a8e075b7a4d24e2550e92e864,40
0x482af9ccdeda1d3457ab998481de7dec34cba7e0,40
0x17507e588b7ea5e8ba7a5974210c6b1e40d150aa,40
0xd728f2eab942495718c69f0cb6c780eb06737407,40
0x9d3fd81d3876f2bd2c61c16ac865f07ad62978e5,40
0x946859505d7ec308a5ea81c7447c3ed141f53979,40
0x62ed977d4a3232fde0cee9526e2a3736b19756d7,40
0x60efeeb2f7a443d82cfbf3a828c1caf3b2e44b33,35
0x61cfeb14f185c911464183153bdf59f9071a1b5b,35
0x61d03d737e2d1d1865fc7101c4f87cb9d748971e,35
0x5fcc96eb2b40ddb1d38da7f96b0394917bd8a457,35
0x61d104dff7ee9b253e7fc13480983fdff39aa4c4,35
0x600995867a6ea8ed5ac0ff3c2075d722594fe6b2,35
0x606a0b82ceb6855790138dc514c8a54b9304c50b,35
0x600999884e659eb9ed5ab2e1b689882cb5dad3e8,35
0x61d52077d2ff1c0ccadd41ed221f5f942a4ec757,35
0x6157cfaf4e1fff473a687bb965f78601b6e0f143,35
0x5fbb9865de3cfed6407ef9349418627cc3c2a965,35
0x60a18aa8da2f71b1540cb990b770cace6f7f55dc,35
0x60a1cf5d0901a3add975399829e158cd444e8840,35
0x606a38b5f734a6492e2ac09d53d49bd2db4d4685,35
0x5feff56d3f92b496475c2e5f870d7734013945b1,35
0x600d66ff8e3825b71d7e4632d956c8fa29a66109,35
0x62730213b73fbe8f3d4e04b5b00ce8c1dc02a710,35
0x5ff145f3150e897117c53cfd014ca01a626e64d3,35
0x62762dffa07c8816ad951d7e9a706cf985cfa498,35
0x60a478fb1c087b29da70cbf7d6aa60e29091144c,35
0x60a47db18d6d5d6685620b2ee9abac6cc55fee30,35
0x62797f364a8f818cea105de54ab9fa3f2ad26138,35
0x627aef4036aab79d92bb195dd4f35e8fdf460ccb,35
0x5faf0fa81fabe17ba0aede33be123fa934c13c33,35
0x606d04e5adf86df181262cd571bf1463e05c343f,35
0x6038aaf6c24ba03734f9e7ebf20882da5ca97fcd,35
